Date,Value,Month,Year
1972-11-01,63.6,11,1972
1972-12-01,64.7,12,1972
1973-01-01,66.0,1,1973
1973-02-01,85.3,2,1973
1973-03-01,90.25,3,1973
1973-04-01,90.7,4,1973
1973-05-01,114.5,5,1973
1973-06-01,123.5,6,1973
1973-07-01,115.2,7,1973
1973-08-01,104.0,8,1973
1973-09-01,100.25,9,1973
1973-10-01,97.25,10,1973
1973-11-01,100.25,11,1973
1973-12-01,112.25,12,1973
1974-01-01,133.25,1,1974
1974-02-01,169.5,2,1974
1974-03-01,173.0,3,1974
1974-04-01,168.5,4,1974
1974-05-01,156.5,5,1974
1974-06-01,146.75,6,1974
1974-07-01,154.0,7,1974
1974-08-01,155.25,8,1974
1974-09-01,147.5,9,1974
1974-10-01,166.4,10,1974
1974-11-01,182.0,11,1974
1974-12-01,187.5,12,1974
1975-01-01,176.25,1,1975
1975-02-01,181.75,2,1975
1975-03-01,177.75,3,1975
1975-04-01,167.4,4,1975
1975-05-01,167.75,5,1975
1975-06-01,166.0,6,1975
1975-07-01,166.4,7,1975
1975-08-01,161.5,8,1975
1975-09-01,138.25,9,1975
1975-10-01,143.4,10,1975
1975-11-01,138.25,11,1975
1975-12-01,140.25,12,1975
1976-01-01,128.0,1,1976
1976-02-01,132.3,2,1976
1976-03-01,129.5,3,1976
1976-04-01,128.15,4,1976
1976-05-01,125.25,5,1976
1976-06-01,123.8,6,1976
1976-07-01,112.4,7,1976
1976-08-01,103.05,8,1976
1976-09-01,116.1,9,1976
1976-10-01,122.3,10,1976
1976-11-01,130.1,11,1976
1976-12-01,134.55,12,1976
1977-01-01,132.1,1,1977
1977-02-01,142.25,2,1977
1977-03-01,149.8,3,1977
1977-04-01,146.5,4,1977
1977-05-01,143.2,5,1977
1977-06-01,142.95,6,1977
1977-07-01,144.5,7,1977
1977-08-01,146.0,8,1977
1977-09-01,153.9,9,1977
1977-10-01,160.8,10,1977
1977-11-01,159.8,11,1977
1977-12-01,165.6,12,1977
1978-01-01,175.2,1,1978
1978-02-01,182.0,2,1978
1978-03-01,180.75,3,1978
1978-04-01,170.0,4,1978
1978-05-01,184.9,5,1978
1978-06-01,183.2,6,1978
1978-07-01,198.9,7,1978
1978-08-01,207.3,8,1978
1978-09-01,217.45,9,1978
1978-10-01,243.65,10,1978
1978-11-01,193.7,11,1978
1978-12-01,224.5,12,1978
1979-01-01,233.05,1,1979
1979-02-01,250.9,2,1979
1979-03-01,239.65,3,1979
1979-04-01,243.45,4,1979
1979-05-01,277.15,5,1979
1979-06-01,276.45,6,1979
1979-07-01,295.35,7,1979
1979-08-01,317.75,8,1979
1979-09-01,397.0,9,1979
1979-10-01,379.75,10,1979
1979-11-01,417.2,11,1979
1979-12-01,524.0,12,1979
1980-01-01,668.0,1,1980
1980-02-01,640.0,2,1980
1980-03-01,503.25,3,1980
1980-04-01,519.25,4,1980
1980-05-01,531.4,5,1980
1980-06-01,662.5,6,1980
1980-07-01,618.0,7,1980
1980-08-01,633.75,8,1980
1980-09-01,670.0,9,1980
1980-10-01,636.0,10,1980
1980-11-01,621.5,11,1980
1980-12-01,589.5,12,1980
1981-01-01,507.5,1,1981
1981-02-01,490.25,2,1981
1981-03-01,514.25,3,1981
1981-04-01,481.0,4,1981
1981-05-01,478.75,5,1981
1981-06-01,421.5,6,1981
1981-07-01,405.25,7,1981
1981-08-01,425.5,8,1981
1981-09-01,426.5,9,1981
1981-10-01,429.0,10,1981
1981-11-01,415.5,11,1981
1981-12-01,400.0,12,1981
1982-01-01,388.25,1,1982
1982-02-01,363.25,2,1982
1982-03-01,320.5,3,1982
1982-04-01,356.75,4,1982
1982-05-01,325.5,5,1982
1982-06-01,314.0,6,1982
1982-07-01,342.5,7,1982
1982-08-01,409.6,8,1982
1982-09-01,394.75,9,1982
1982-10-01,422.0,10,1982
1982-11-01,428.25,11,1982
1982-12-01,448.0,12,1982
1983-01-01,503.0,1,1983
1983-02-01,419.75,2,1983
1983-03-01,414.25,3,1983
1983-04-01,428.5,4,1983
1983-05-01,439.0,5,1983
1983-06-01,416.75,6,1983
1983-07-01,422.25,7,1983
1983-08-01,414.5,8,1983
1983-09-01,404.0,9,1983
1983-10-01,383.5,10,1983
1983-11-01,405.75,11,1983
1983-12-01,381.5,12,1983
1984-01-01,371.9,1,1984
1984-02-01,396.6,2,1984
1984-03-01,388.5,3,1984
1984-04-01,376.2,4,1984
1984-05-01,383.45,5,1984
1984-06-01,375.25,6,1984
1984-07-01,341.6,7,1984
1984-08-01,347.7,8,1984
1984-09-01,344.15,9,1984
1984-10-01,334.5,10,1984
1984-11-01,328.6,11,1984
1984-12-01,309.0,12,1984
1985-01-01,304.9,1,1985
1985-02-01,290.5,2,1985
1985-03-01,329.8,3,1985
1985-04-01,324.65,4,1985
1985-05-01,313.15,5,1985
1985-06-01,316.5,6,1985
1985-07-01,328.1,7,1985
1985-08-01,335.75,8,1985
1985-09-01,326.5,9,1985
1985-10-01,325.75,10,1985
1985-11-01,327.4,11,1985
1985-12-01,327.0,12,1985
1986-01-01,354.0,1,1986
1986-02-01,338.25,2,1986
1986-03-01,345.5,3,1986
1986-04-01,344.75,4,1986
1986-05-01,343.35,5,1986
1986-06-01,345.5,6,1986
1986-07-01,357.75,7,1986
1986-08-01,386.0,8,1986
1986-09-01,421.2,9,1986
1986-10-01,401.5,10,1986
1986-11-01,390.0,11,1986
1986-12-01,390.9,12,1986
1987-01-01,407.3,1,1987
1987-02-01,405.75,2,1987
1987-03-01,419.0,3,1987
1987-04-01,454.5,4,1987
1987-05-01,451.75,5,1987
1987-06-01,447.1,6,1987
1987-07-01,464.25,7,1987
